,Disease,ID,Symptoms
50,Acute lymphoblastic leukaemia: Teenagers and young adults,6,"fever and sweats – you may have a high temperature without any obvious cause, such as an infection"
51,Acute lymphoblastic leukaemia: Teenagers and young adults,6,headaches and visual disturbance
52,Acute myeloid leukaemia,7,lymphocytes – mostly used to fight viral infections
53,Acute myeloid leukaemia,7,"myeloid cells – which perform a number of different functions, such as fighting bacterial infections, defending the body against parasites and preventing the spread of tissue damage"
54,Acute myeloid leukaemia,7,acute lymphoblastic leukaemia
55,Acute myeloid leukaemia,7,chronic myeloid leukaemia
56,Acute myeloid leukaemia,7,chronic lymphocytic leukaemia
57,Acute myeloid leukaemia,7,pale skin
58,Acute myeloid leukaemia,7,tiredness
59,Acute myeloid leukaemia,7,breathlessness
60,Acute myeloid leukaemia,7,frequent infections
61,Acute myeloid leukaemia,7,"unusual and frequent bleeding, such as bleeding gums or nosebleeds"
62,Acute myeloid leukaemia,7,previous chemotherapy or radiotherapy
63,Acute myeloid leukaemia,7,exposure to very high levels of radiation (including previous  radiotherapy treatment)
64,Acute myeloid leukaemia,7,exposure to benzene – a chemical used in manufacturing that's also found in cigarette smoke
65,Acute myeloid leukaemia,7,"having an underlying blood disorder or genetic disorder, such as Down's syndrome"
66,Symptom may not be a bullet point,8,null
67,Acute myeloid leukaemia: Teenagers and young adults,9,help fight infection (white cells)
68,Acute myeloid leukaemia: Teenagers and young adults,9,carry oxygen from the lungs around the body (red blood cells)
69,Acute myeloid leukaemia: Teenagers and young adults,9,stop cuts bleeding by clotting blood (platelets)
70,Acute myeloid leukaemia: Teenagers and young adults,9,looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
71,Acute myeloid leukaemia: Teenagers and young adults,9,"bruises or bleeding – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal"
72,Acute myeloid leukaemia: Teenagers and young adults,9,infections – because there are too few mature white blood cells to fight infection
73,Acute myeloid leukaemia: Teenagers and young adults,9,aches and pains in your bones
74,Acute myeloid leukaemia: Teenagers and young adults,9,"swollen glands (lymph nodes) in your neck, under your arm or in your groin"
75,Acute myeloid leukaemia: Teenagers and young adults,9,feeling unwell and run down
76,Acute myeloid leukaemia: Teenagers and young adults,9,"fever and sweats – you may have a high temperature without any obvious cause, such as an infection"
77,Acute myeloid leukaemia: Teenagers and young adults,9,headaches and blurred vision – because of too many white blood cells
78,Acute myeloid leukaemia: Teenagers and young adults,9,breathlessness – because of too many white blood cells.
79,Acute myeloid leukaemia: Teenagers and young adults,9,"some genetic conditions, like Down's Syndrome (a genetic condition is something you are born with)"
80,Acute myeloid leukaemia: Teenagers and young adults,9,"some non-cancerous conditions of the bone marrow, such as aplastic anaemia or myelodysplastic syndromes"
81,Acute pancreatitis,10,suddenly getting severe pain in the centre of your abdomen (tummy)
82,Acute pancreatitis,10,feeling or being sick
83,Acute pancreatitis,10,diarrhoea
84,Acute pancreatitis,10,gallstones – which accounts for around half of all cases
85,Acute pancreatitis,10,alcohol consumption – which accounts for about a quarter of all cases
86,Addison's disease,11,fatigue (lack of energy or motivation)
87,Addison's disease,11,lethargy (abnormal drowsiness or tiredness)
88,Addison's disease,11,muscle weakness
89,Addison's disease,11,low mood (mild depression) or irritability
90,Addison's disease,11,loss of appetite and unintentional weight loss
91,Addison's disease,11,the need to urinate frequently
92,Addison's disease,11,increased thirst
93,Addison's disease,11,craving for salty foods
94,Addison's disease,11,"low blood pressure when you stand up, which can cause dizziness and fainting"
95,Addison's disease,11,feeling sick (nausea)
96,Addison's disease,11,vomiting
97,Addison's disease,11,diarrhoea
98,Addison's disease,11,"abdominal, joint or back pain"
99,Addison's disease,11,muscle cramps
100,Addison's disease,11,"chronic exhaustion, which may cause depression"
101,Addison's disease,11,"brownish discolouration of the skin, lips and gums (hyperpigmentation), particularly in the creases on your palms, on scars or on pressure points, such as your knuckles or knees"
102,Addison's disease,11,"a reduced libido (lack of interest in sex), particularly in women"
103,Addison's disease,11,severe dehydration
104,Addison's disease,11,"pale, cold, clammy skin"
105,Addison's disease,11,sweating
106,Addison's disease,11,"rapid, shallow breathing"
107,Addison's disease,11,dizziness
108,Addison's disease,11,severe vomiting and diarrhoea
109,Addison's disease,11,severe muscle weakness
110,Addison's disease,11,headache
111,Addison's disease,11,severe drowsiness or loss of consciousness
112,Alcohol-related liver disease,12,feeling sick
113,Alcohol-related liver disease,12,weight loss
114,Alcohol-related liver disease,12,loss of appetite
115,Alcohol-related liver disease,12,yellowing of the eyes and skin (jaundice)
116,Alcohol-related liver disease,12,swelling in the ankles and tummy
117,Alcohol-related liver disease,12,confusion or drowsiness
118,Alcohol-related liver disease,12,vomiting blood or passing blood in your stools
119,Alcohol-related liver disease,12,symptoms of ARLD
120,Alcohol-related liver disease,12,diagnosing ARLD
121,Alcohol-related liver disease,12,filtering toxins from the blood
122,Alcohol-related liver disease,12,aiding digestion of food
123,Alcohol-related liver disease,12,regulating blood sugar and cholesterol levels
124,Alcohol-related liver disease,12,helping fight infection and disease
125,Alcohol-related liver disease,12,internal (variceal) bleeding
126,Alcohol-related liver disease,12,build-up of toxins in the brain (encephalopathy)
127,Alcohol-related liver disease,12,fluid accumulation in the abdomen (ascites) with associated kidney failure
128,Alcohol-related liver disease,12,liver cancer
129,Alcohol-related liver disease,12,men and women are advised not to regularly drink more than 14 units a week
130,Alcohol-related liver disease,12,spread your drinking over 3 days or more if you drink as much as 14 units a week
131,Allergic rhinitis,13,nasal polyps – abnormal but non-cancerous (benign) sacs of fluid that grow inside the nasal passages and sinuses
132,Allergic rhinitis,13,sinusitis – an infection caused by nasal inflammation and swelling that prevents mucus draining from the sinuses
133,Allergic rhinitis,13,middle ear infections – infection of part of the ear located directly behind the eardrum
134,Allergies,14,"sneezing and an itchy, runny or blocked nose (allergic rhinitis)"
135,Allergies,14,"itchy, red, watering eyes (conjunctivitis)"
136,Allergies,14,"wheezing, chest tightness, shortness of breath and a cough"
137,Allergies,14,"a raised, itchy, red rash (hives)"
138,Allergies,14,"swollen lips, tongue, eyes or face"
139,Allergies,14,"tummy pain, feeling sick, vomiting or diarrhoea"
140,Allergies,14,"dry, red and cracked skin"
141,Allergies,14,swelling of the throat and mouth
142,Allergies,14,difficulty breathing
143,Allergies,14,lightheadedness
144,Allergies,14,confusion
145,Allergies,14,blue skin or lips
146,Allergies,14,collapsing and losing consciousness
147,Alzheimer's disease,15,increasing age
148,Alzheimer's disease,15,a family history of the condition
149,Alzheimer's disease,15,previous severe head injuries
150,Alzheimer's disease,15,lifestyle factors and conditions associated with cardiovascular disease
151,Symptom may not be a bullet point,16,null
152,Anaphylaxis,17,"itchy skin or a raised, red skin rash"
153,Anaphylaxis,17,"swollen eyes, lips, hands and feet"
154,Anaphylaxis,17,feeling lightheaded or faint
155,Anaphylaxis,17,"swelling of the mouth, throat or tongue, which can cause breathing and swallowing difficulties"
156,Anaphylaxis,17,wheezing
157,Anaphylaxis,17,"abdominal pain, nausea and vomiting"
158,Anaphylaxis,17,collapse and unconsciousness
159,Anaphylaxis,17,insect stings – particularly wasp and bee stings
160,Anaphylaxis,17,peanuts and tree nuts
161,Anaphylaxis,17,other types of foods – such as milk and seafood
162,Anaphylaxis,17,certain medicines – such as antibiotics
163,Angioedema,18,a hot or painful sensation in the swollen areas
164,Angioedema,18,"swelling of the inside of the throat, the windpipe and the tongue, making breathing difficult"
165,Angioedema,18,"swelling of the conjunctiva (the transparent layer of cells that cover the white part of the eye), which affects vision"
166,Angioedema,18,"abdominal (stomach) pain caused by swelling in the stomach and bowel, which can cause nausea, vomiting and diarrhoea"
167,Angioedema,18,"swelling of the bladder or urethra (the tube that connects the bladder to the genitals), which can cause bladder problems and difficulty passing urine"
168,Angioedema,18,a feeling of tightness in the chest that leads to breathing problems
169,Angioedema,18,swelling of the tongue and throat
170,Ankylosing spondylitis,19,a group exercise programme – where you exercise with others
171,Ankylosing spondylitis,19,an individual exercise programme – you are given exercises to do by yourself
172,Ankylosing spondylitis,19,massage – your muscles and other soft tissues are manipulated to relieve pain and improve movement (the bones of the spine should never be manipulated as this can cause injury in people with AS)
173,Ankylosing spondylitis,19,"hydrotherapy – exercise in water (usually a warm, shallow swimming pool or a special hydrotherapy bath); the buoyancy of the water helps make movement easier by supporting you, and the warmth can relax your muscles"
174,Ankylosing spondylitis,19,your diagnosis of ankylosing spondylitis has been confirmed
175,Ankylosing spondylitis,19,your level of pain is assessed twice (using a simple scale that you fill in) 12 weeks apart and confirms your condition has not improved
176,Ankylosing spondylitis,19,"your Bath Ankylosing Spondylitis Disease Activity Index (BASDAI) is tested twice, 12 weeks apart, and confirms your condition has not improved – BASDAI is a set of measures devised by experts to evaluate your condition, by asking a number of questions about your symptoms"
177,Ankylosing spondylitis,19,treatment with two or more NSAIDs for four weeks at the highest possible dose has not controlled your symptoms
178,Ankylosing spondylitis,19,infection in response to the injection
179,Ankylosing spondylitis,19,the skin around the injection may change colour (depigmentation)
180,Ankylosing spondylitis,19,the surrounding tissue may waste away
181,Ankylosing spondylitis,19,a tendon (cord of tissue that connects muscles to bones) near the joint may rupture (burst)
182,Anorexia nervosa,20,fear of ‘being fat’ or gaining weight
183,Anorexia nervosa,20,problems with self-esteem and body image when it comes to food and weight
184,Anorexia nervosa,20,"restricting food intake and keeping your body weight low, to the point it’s unhealthy"
185,Anorexia nervosa,20,"hiding how much you’ve eaten, or not eaten"
186,Anorexia nervosa,20,avoiding eating around other people
187,Anorexia nervosa,20,"coming up with reasons for not eating, like feeling ill, special dietary requirements, or telling people you ate before you saw them"
188,Anorexia nervosa,20,that you’re overweight or ‘fat’
189,Anorexia nervosa,20,that you’re unattractive or ugly
190,Anorexia nervosa,20,that other people see you in a negative way – maybe that they’ll find you ugly or judge you for the way you look
191,Anorexia nervosa,20,weighing themselves
192,Anorexia nervosa,20,"measuring themselves, such as their waist size"
193,Anorexia nervosa,20,checking their body in the mirror
194,Anorexia nervosa,20,strict dieting
195,Anorexia nervosa,20,counting the calories in food
196,Anorexia nervosa,20,avoiding food they think is fattening
197,Anorexia nervosa,20,eating only low-calorie food
198,Anorexia nervosa,20,missing meals (fasting)
199,Anorexia nervosa,20,hiding food instead of eating it
200,Anorexia nervosa,20,"cutting food into tiny pieces – to make it less obvious that they’ve eaten very little, and to make the food easier to swallow"
201,Anorexia nervosa,20,"taking appetite suppressants (which make you less hungry), or pills that claim to help your body digest food faster, or remove fat from food"
202,Anorexia nervosa,20,leaving the room immediately after eating
203,Anorexia nervosa,20,"dental problems, such as tooth decay or bad breath, caused by the acid in vomit damaging their teeth and mouth"
204,Anorexia nervosa,20,"hard skin on their knuckles, caused by putting their fingers down their throat"
205,Anorexia nervosa,20,laxatives (medication that helps to empty the bowels)
206,Anorexia nervosa,20,diuretics (medication that helps remove fluid from the body)
207,Anorexia nervosa,20,fine downy hair (lanugo) growing on the body
208,Anorexia nervosa,20,more hair on the face
209,Anorexia nervosa,20,pubic hair becoming sparse and thin
210,Anorexia nervosa,20,slow or irregular heartbeat
211,Anorexia nervosa,20,have pain in their abdomen (tummy)
212,Anorexia nervosa,20,feel bloated or constipated
213,Anorexia nervosa,20,"have swelling in their feet, hands or face"
214,Anorexia nervosa,20,feel very tired
215,Anorexia nervosa,20,have low blood pressure (hypotension)
216,Anorexia nervosa,20,feel cold or have a low body temperature
217,Anorexia nervosa,20,feel light-headed or dizzy
218,Anxiety,21,overactivity in areas of the brain involved in emotions and behaviour
219,Anxiety,21,"an imbalance of the brain chemicals serotonin and noradrenaline, which are involved in the control and regulation of mood"
220,Anxiety,21,the genes you inherit from your parents – you're estimated to be five times more likely to develop GAD if you have a close relative with the condition
221,Anxiety,21,"having a history of stressful or traumatic experiences, such as domestic violence, child abuse or bullying"
222,Anxiety,21,"having a painful long-term health condition, such as arthritis"
223,Anxiety,21,having a history of drug or alcohol misuse
224,Anxiety,21,psychological therapy– such as cognitive behavioural therapy (CBT)
225,Anxiety,21,medication – such as a type of antidepressant called selective serotonin reuptake inhibitors (SSRIs)
226,Symptom may not be a bullet point,22,null
227,Appendicitis,23,a tube that gas is pumped through to inflate your abdomen – this allows the surgeon to see your appendix more clearly and gives them more room to work
228,Appendicitis,23,"a laparoscope – a small tube containing a light source and a camera, which relays images of the inside of the abdomen to a television monitor"
229,Appendicitis,23,small surgical tools used to remove the appendix
230,Appendicitis,23,when the appendix has already burst and formed a lump called an appendix mass
231,Appendicitis,23,when the surgeon isn't very experienced in laparoscopic removal
232,Appendicitis,23,people who have previously had open abdominal surgery
233,Appendicitis,23,increasing pain and swelling
234,Appendicitis,23,you start vomiting repeatedly
235,Appendicitis,23,a high temperature (fever)
236,Appendicitis,23,any discharge coming from the wound
237,Appendicitis,23,the wound is hot to touch
238,Appendicitis,23,"antibiotics may be given before, during, or after the operation to minimise the risk of serious infections"
239,Appendicitis,23,"bleeding under the skin that causes a firm swelling (haematoma) – this usually gets better on its own, but you should see your GP if you're concerned"
240,Appendicitis,23,scarring – both surgical techniques will leave some scarring where the incisions were made
241,Appendicitis,23,"a collection of pus (abscess) – in rare cases, an infection caused by the appendix bursting can lead to an abscess after surgery"
242,Appendicitis,23,hernia – at the site of the open incision or any of the incisions used in the laparoscopic approach
243,Arthritis,24,osteoarthritis
244,Arthritis,24,rheumatoid arthritis
245,Arthritis,24,hands
246,Arthritis,24,spine
247,Arthritis,24,knees
248,Arthritis,24,hips
249,Arthritis,24,"Ankylosing spondylitis – a long-term inflammatory condition that mainly affects the bones, muscles and ligaments of the spine, leading to stiffness and joints fusing together. Other problems can include the swelling of tendons, eyes and large joints."
250,Arthritis,24,"Cervical spondylosis – also known as degenerative osteoarthritis, cervical spondylitis affects the joints and bones in the neck, which can lead to pain and stiffness."
251,Arthritis,24,"Fibromyalgia – causes pain in the body's muscles, ligaments and tendons."
252,Arthritis,24,Lupus – an autoimmune condition that can affect many different organs and the body's tissues.
253,Arthritis,24,"Gout – a type of arthritis caused by too much uric acid in the body. This can be left in joints (usually affecting the big toe) but can develop in any joint. It causes intense pain, redness and swelling."
254,Arthritis,24,Psoriatic arthritis – an inflammatory joint condition that can affect people with psoriasis.
255,Arthritis,24,"Enteropathic arthritis – a form of chronic, inflammatory arthritis associated with inflammatory bowel disease (IBD), the two best-known types being ulcerative colitis and Crohn's disease. About one in five people with Crohn's or ulcerative colitis will develop enteropathic arthritis. The most common areas affected by inflammation are the peripheral (limb) joints and the spine."
256,Arthritis,24,"Reactive arthritis – this can cause inflammation of the joints, eyes and urethra (the tube that urine passes through). It develops shortly after an infection of the bowel, genital tract or, less frequently, after a throat infection."
257,Arthritis,24,Secondary arthritis – a type of arthritis that can develop after a joint injury and sometimes occurs many years afterwards.
258,Arthritis,24,"Polymyalgia rheumatica – a condition that almost always affects people over 50 years of age, where the immune system causes muscle pain and stiffness, usually across the shoulders and tops of the legs. It can also cause joint inflammation."
259,Arthritis,24,"joint pain, tenderness and stiffness"
260,Arthritis,24,inflammation in and around the joints
261,Arthritis,24,restricted movement of the joints
262,Arthritis,24,"warm, red skin over the affected joint"
263,Arthritis,24,weakness and muscle wasting
264,Arthritis,24,painkillers
265,Arthritis,24,non-steroidal anti-inflammatory drugs (NSAIDs)
266,Arthritis,24,corticosteroids
267,Arthritis,24,arthroplasty (joint replacement)
268,Arthritis,24,arthodesis (joint fusion)
269,Arthritis,24,osteotomy (where a bone is cut and re-aligned)
270,Arthritis,24,analgesics (painkillers)
271,Arthritis,24,disease modifying anti-rheumatic drugs (DMARDs) – a combination of treatments is often recommended
272,Arthritis,24,physiotherapy
273,Arthritis,24,regular exercise
274,Asbestosis,25,null
275,Asthma,26,house dust mites
276,Asthma,26,animal fur
277,Asthma,26,pollen
278,Asthma,26,cigarette smoke
279,Asthma,26,exercise
280,Asthma,26,viral infections
281,Asthma,26,relieving symptoms
282,Asthma,26,preventing future symptoms and attacks
283,Atopic eczema,27,your eczema getting a lot worse
284,Atopic eczema,27,fluid oozing from the skin
285,Atopic eczema,27,a yellow crust on the skin surface or small yellowish-white spots appearing in the eczema
286,Atopic eczema,27,the skin becoming swollen and sore
287,Atopic eczema,27,a high temperature (fever) and generally feeling unwell
288,Attention deficit hyperactivity disorder (ADHD),28,being born prematurely (before the 37th week of pregnancy)
289,Attention deficit hyperactivity disorder (ADHD),28,having a low birthweight
290,Attention deficit hyperactivity disorder (ADHD),28,"smoking, alcohol or drug abuse during pregnancy"
291,Attention deficit hyperactivity disorder (ADHD),28,getting your child to sleep at night
292,Attention deficit hyperactivity disorder (ADHD),28,getting ready for school on time
293,Attention deficit hyperactivity disorder (ADHD),28,listening to and carrying out instructions
294,Attention deficit hyperactivity disorder (ADHD),28,being organised
295,Attention deficit hyperactivity disorder (ADHD),28,social occasions
296,Attention deficit hyperactivity disorder (ADHD),28,shopping
297,Autistic spectrum disorder (ASD),29,low mood
298,Autistic spectrum disorder (ASD),29,anxiety
299,Autistic spectrum disorder (ASD),29,sleep problems
300,Autistic spectrum disorder (ASD),29,"help with communicating, both for autistic people and the people in their lives"
301,Autistic spectrum disorder (ASD),29,groups for autistic people to share experiences and advice
302,Autistic spectrum disorder (ASD),29,sensory assessments and support with an occupational therapist to help find ways of managing and improving your environment and how you experience the world
303,Autistic spectrum disorder (ASD),29,"training courses for loved ones, to help them understand autism and offer the best possible support"
304,Autistic spectrum disorder (ASD),29,trying to get away from people – for example by running away or hiding
305,Autistic spectrum disorder (ASD),29,"trying to get people away from them – for example by shouting, screaming, hitting, or acting aggressively"
306,Autistic spectrum disorder (ASD),29,"trying to meet sensory needs – for example, wanting to do something because it feels nice, like rubbing soaps and creams all over themselves and the walls"
307,Autistic spectrum disorder (ASD),29,"wanting something – for example, being hungry or wanting to play with a toy"
308,Autistic spectrum disorder (ASD),29,"needing assistance or attention – for example, because they're bored or want help with a project at school"
309,Autistic spectrum disorder (ASD),29,"trying to escape an environment or the people around them, but doing so in a way that can be dangerous or harmful, such as running into the road"
310,Autistic spectrum disorder (ASD),29,"being destructive – breaking things, for example"
311,Autistic spectrum disorder (ASD),29,"being disruptive – making noise in class or throwing things, for example"
312,Autistic spectrum disorder (ASD),29,self-harm
313,Autistic spectrum disorder (ASD),29,aggression
314,Autistic spectrum disorder (ASD),29,"sensory changes – for example, being given a quiet space to work, being able to use sensory toys like fidget spinners, or being allowed to make noises while working"
315,Autistic spectrum disorder (ASD),29,"communication changes – for example, using email or apps to communicate, using very clear language, allowing additional time to ask questions, or using visual communication such as photos or pictures as well as written words"
316,Autistic spectrum disorder (ASD),29,routine – keeping to a regular routine and giving warning of any changes as far in advance as possible
317,Symptom may not be a bullet point,30,null
318,Benign prostate enlargement,31,lifestyle changes
319,Benign prostate enlargement,31,medication
320,Benign prostate enlargement,31,surgery
321,Benign prostate enlargement,31,avoid drinking any liquids for one to two hours before going to bed – this will reduce your chances of waking up during the night to pass urine (nocturia)
322,Benign prostate enlargement,31,"experiment with the time you take prescribed medication – for example, taking it at 7pm may help prevent nocturia"
323,Benign prostate enlargement,31,"stop drinking alcohol and caffeine, or limit your consumption of them – these drinks can irritate your bladder and make your symptoms worse"
324,Benign prostate enlargement,31,"exercise regularly – research shows moderate exercise, such as walking for 30 to 60 minutes a day, can improve symptoms, although it's unclear exactly why this is the case"
325,Benign prostate enlargement,31,"join a patient support group – your doctor should be able to recommend one, which may help you manage mild symptoms without the need for medication"
326,Benign prostate enlargement,31,dizziness
327,Benign prostate enlargement,31,headaches
328,Benign prostate enlargement,31,weakness
329,Benign prostate enlargement,31,little or no sperm when you ejaculate
330,Benign prostate enlargement,31,doesn't have urinary retention
331,Benign prostate enlargement,31,doesn't have an increased risk of bleeding
332,Benign prostate enlargement,31,has a prostate smaller than 100ml
333,Benign prostate enlargement,31,a shorter hospital stay – the procedure is often carried out as a day case
334,Benign prostate enlargement,31,the catheter can be removed sooner
335,Benign prostate enlargement,31,recovery is quicker
336,Benign prostate enlargement,31,there's a lower risk of complications
337,Bile duct cancer (cholangiocarcinoma),32,"asbestos – a fire-resistant material that was widely used in construction and manufacturing, but is now banned in this country"
338,Bile duct cancer (cholangiocarcinoma),32,"polychlorinated biphenyls (PCBs) – a chemical that was used in manufacturing and building but, like asbestos, has now been banned"
339,Bile duct cancer (cholangiocarcinoma),32,hepatitis B and hepatitis C
340,Bile duct cancer (cholangiocarcinoma),32,cirrhosis (a scarred liver) as a result of drinking excessive amounts of alcohol
341,Bile duct cancer (cholangiocarcinoma),32,HIV
342,Bile duct cancer (cholangiocarcinoma),32,diabetes
343,Bile duct cancer (cholangiocarcinoma),32,obesity
344,Bile duct cancer (cholangiocarcinoma),32,smoking
345,Binge eating,33,a tendency towards depression and anxiety
346,Binge eating,33,"finding it difficult to handle stress, anger, boredom or loneliness"
347,Binge eating,33,low self-esteem and a lack of confidence
348,Binge eating,33,feeling dissatisfied with your body and under pressure to be thin
349,Binge eating,33,frequently worrying and feeling scared or doubtful about the future
350,Binge eating,33,finding it hard to express feelings
351,Binge eating,33,"experiencing unwanted thoughts, images or urges that make them feel they have to behave in certain ways"
352,Binge eating,33,"pressure and stress at school, such as exams or bullying – particularly if someone is bullied about body weight or shape"
353,Binge eating,33,"having a family that places high value on body shape, and praises or rewards weight loss"
354,Binge eating,33,difficult family relationships
355,Binge eating,33,stressful or traumatic events in your past
356,Binge eating,33,high cholesterol and high blood pressure
357,Binge eating,33,diabetes
358,Binge eating,33,osteoarthritis
359,Binge eating,33,"some types of cancer, such as breast cancer and bowel cancer"
360,Bipolar disorder,34,"feeling sad, hopeless or irritable most of the time"
361,Bipolar disorder,34,lacking energy
362,Bipolar disorder,34,difficulty concentrating and remembering things
363,Bipolar disorder,34,loss of interest in everyday activities
364,Bipolar disorder,34,feelings of emptiness or worthlessness
365,Bipolar disorder,34,feelings of guilt and despair
366,Bipolar disorder,34,feeling pessimistic about everything
367,Bipolar disorder,34,self-doubt
368,Bipolar disorder,34,"being delusional, having hallucinations and disturbed or illogical thinking"
369,Bipolar disorder,34,lack of appetite
370,Bipolar disorder,34,difficulty sleeping
371,Bipolar disorder,34,waking up early
372,Bipolar disorder,34,suicidal thoughts
373,Bipolar disorder,34,"feeling very happy, elated or overjoyed"
374,Bipolar disorder,34,talking very quickly
375,Bipolar disorder,34,feeling full of energy
376,Bipolar disorder,34,feeling self-important
377,Bipolar disorder,34,feeling full of great new ideas and having important plans
378,Bipolar disorder,34,being easily distracted
379,Bipolar disorder,34,being easily irritated or agitated
380,Bipolar disorder,34,"being delusional, having hallucinations and disturbed or illogical thinking"
381,Bipolar disorder,34,not feeling like sleeping
382,Bipolar disorder,34,not eating
383,Bipolar disorder,34,doing things that often have disastrous consequences – such as spending large sums of money on expensive and sometimes unaffordable items
384,Bipolar disorder,34,making decisions or saying things that are out of character and that others see as being risky or harmful
385,Bipolar disorder,34,"rapid cycling – where a person with bipolar disorder repeatedly swings from a high to low phase quickly without having a ""normal"" period in between"
386,Bipolar disorder,34,"mixed state – where a person with bipolar disorder experiences symptoms of depression and mania together; for example, overactivity with a depressed mood"
387,Bladder cancer,35,a need to urinate on a more frequent basis
388,Bladder cancer,35,sudden urges to urinate
389,Bladder cancer,35,a burning sensation when passing urine
390,Bladder cancer,35,pelvic pain
391,Bladder cancer,35,bone pain
392,Bladder cancer,35,unintentional weight loss
393,Bladder cancer,35,swelling of the legs
394,Bladder cancer,35,"a urinary tract infection, such as cystitis"
395,Bladder cancer,35,a kidney infection
396,Bladder cancer,35,kidney stones
397,Bladder cancer,35,urethritis
398,Bladder cancer,35,"an enlarged prostate gland, in men"
399,Blood poisoning (sepsis),36,temperature
400,Blood poisoning (sepsis),36,heart rate
