,Disease,ID,Links
72,Common cold,73,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/common-cold
73,Common heart conditions,74,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/common-heart-conditions
74,Congenital heart disease,75,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/congenital-heart-disease
75,Conjunctivitis,76,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/conjunctivitis
76,Constipation,77,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/constipation
77,Coronavirus (COVID-19),78,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/coronavirus-covid-19
78,Cough,79,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cough
79,Crohn's disease,80,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/crohns-disease
80,Croup,81,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/croup
81,Cystic fibrosis,82,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cystic-fibrosis
82,Cystitis,83,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cystitis
83,Deafblindness,84,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/deafblindness
84,Deep vein thrombosis,85,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/deep-vein-thrombosis
85,Dehydration,86,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dehydration
86,Dementia,87,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dementia
87,Dementia with Lewy bodies,88,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dementia-with-lewy-bodies
88,Dental abscess,89,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dental-abscess
89,Depression,90,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/depression
90,Dermatitis herpetiformis,91,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dermatitis-herpetiformis
91,Diabetes,92,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/diabetes
92,Diarrhoea,93,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/diarrhoea
93,Discoid eczema,94,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/discoid-eczema
94,Diverticular disease and diverticulitis,95,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/diverticular-disease-and-diverticulitis
95,Dizziness (Lightheadedness),96,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dizziness-lightheadedness
96,Down's syndrome,97,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/downs-syndrome
97,Dry mouth,98,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dry-mouth
98,Dysphagia (swallowing problems),99,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dysphagia-swallowing-problems
99,Dystonia,100,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/d/dystonia
100,Earache,101,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/earache
101,Earwax build-up,102,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/earwax-build-up
102,Ebola virus disease,103,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/ebola-virus-disease
103,Ectopic pregnancy,104,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/ectopic-pregnancy
104,Endometriosis,105,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/endometriosis
105,Epilepsy,106,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/epilepsy
106,Erectile dysfunction (impotence),107,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/erectile-dysfunction-impotence
107,Escherichia coli (E. coli) O157,108,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/escherichia-coli-e-coli-o157
108,Ewing sarcoma,109,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/ewing-sarcoma
109,Ewing sarcoma: Children,110,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/ewing-sarcoma-children
110,Eye cancer,111,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/e/eye-cancer
111,Febrile seizures,112,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/febrile-seizures
112,Fever in adults,113,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/fever-in-adults
113,Fever in children,114,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/fever-in-children
114,Fibroids,115,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/fibroids
115,Fibromyalgia,116,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/fibromyalgia
116,Flatulence,117,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/flatulence
117,Flu,118,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/flu
118,Foetal alcohol syndrome,119,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/foetal-alcohol-syndrome
119,Food poisoning,120,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/food-poisoning
120,Functional neurological disorder (FND),121,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/functional-neurological-disorder-fnd
121,Fungal nail infection,122,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/f/fungal-nail-infection
122,Gallbladder cancer,123,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gallbladder-cancer
123,Gallstones,124,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gallstones
124,Ganglion cyst,125,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/ganglion-cyst
125,Gastroenteritis,126,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gastroenteritis
126,Gastro-oesophageal reflux disease (GORD),127,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gastro-oesophageal-reflux-disease-gord
127,Genital herpes,128,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/genital-herpes
128,Genital warts,129,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/genital-warts
129,Germ cell tumours,130,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/germ-cell-tumours
130,Glandular fever,131,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/glandular-fever
131,Gonorrhoea,132,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gonorrhoea
132,Gout,133,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gout
133,Gum disease,134,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/g/gum-disease
134,Haemorrhoids (piles),135,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/haemorrhoids-piles
135,"Hand, foot and mouth disease",136,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hand-foot-and-mouth-disease
136,Hay fever,137,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hay-fever
137,Head and neck cancer,138,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/head-and-neck-cancer
138,Head lice and nits,139,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/head-lice-and-nits
139,Headaches,140,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/headaches
140,Hearing loss,141,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hearing-loss
141,Heart failure,142,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/heart-failure
142,Hepatitis A,143,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hepatitis-a
143,Hepatitis B,144,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hepatitis-b
144,Hepatitis C,145,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hepatitis-c
145,Hiatus hernia,146,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hiatus-hernia
146,High cholesterol,147,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/high-cholesterol
147,HIV,148,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hiv
148,Hodgkin lymphoma,149,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hodgkin-lymphoma
149,Hodgkin lymphoma: Children,150,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hodgkin-lymphoma-children
150,Hodgkin lymphoma: Teenagers and young adults,151,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hodgkin-lymphoma-teenagers-and-young-adults
151,Huntington's disease,152,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/huntingtons-disease
152,Hyperglycaemia (high blood sugar),153,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hyperglycaemia-high-blood-sugar
153,Hyperhidrosis,154,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hyperhidrosis
154,Hypoglycaemia (low blood sugar),155,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/h/hypoglycaemia-low-blood-sugar
155,Idiopathic pulmonary fibrosis,156,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/idiopathic-pulmonary-fibrosis
156,Impetigo,157,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/impetigo
157,Indigestion,158,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/indigestion
158,Ingrown toenail,159,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/ingrown-toenail
159,Inherited heart conditions,160,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/inherited-heart-conditions
160,Insomnia,161,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/insomnia
161,Iron deficiency anaemia,162,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/iron-deficiency-anaemia
162,Irritable bowel syndrome (IBS),163,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/irritable-bowel-syndrome-ibs
163,Irritable hip,164,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/irritable-hip
164,Itching,165,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/itching
165,Itchy bottom,166,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/i/itchy-bottom
166,Kaposi's sarcoma,167,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/k/kaposis-sarcoma
167,Kidney cancer,168,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/k/kidney-cancer
168,Kidney infection,169,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/k/kidney-infection
169,Kidney stones,170,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/k/kidney-stones
170,Labyrinthitis,171,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/labyrinthitis
171,Lactose intolerance,172,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lactose-intolerance
172,Laryngeal (larynx) cancer,173,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/laryngeal-larynx-cancer
173,Laryngitis,174,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/laryngitis
174,Leg cramps,175,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/leg-cramps
175,Lichen planus,176,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lichen-planus
176,Liver cancer,177,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/liver-cancer
177,Liver disease,178,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/liver-disease
178,Liver tumours,179,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/liver-tumours
179,Loss of libido,180,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/loss-of-libido
180,Lung cancer,181,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lung-cancer
181,Lupus,182,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lupus
182,Lyme disease,183,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lyme-disease
183,Lymphoedema,184,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lymphoedema
184,Lymphogranuloma venereum (LGV),185,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/l/lymphogranuloma-venereum-lgv
185,Malaria,186,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/malaria
186,Malignant brain tumour (cancerous),187,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/malignant-brain-tumour-cancerous
187,Malnutrition,188,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/malnutrition
188,Measles,189,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/measles
189,Meningitis,190,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/meningitis
190,Menopause,191,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/menopause
191,Mesothelioma,192,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/mesothelioma
192,Middle ear infection (otitis media),193,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/middle-ear-infection-otitis-media
193,Migraine,194,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/migraine
194,Miscarriage,195,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/miscarriage
195,Motor neurone disease (MND),196,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/motor-neurone-disease-mnd
196,Mouth cancer,197,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/mouth-cancer
197,Mouth ulcer,198,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/mouth-ulcer
198,Multiple myeloma,199,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/multiple-myeloma
199,Multiple sclerosis (MS),200,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/multiple-sclerosis-ms
200,Mumps,201,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/mumps
201,Meniere's disease,202,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/menieres-disease
202,Myasthenia gravis,203,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/m/myasthenia-gravis
203,Nasal and sinus cancer,204,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/nasal-and-sinus-cancer
204,Nasopharyngeal cancer,205,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/nasopharyngeal-cancer
205,Neuroblastoma: Children,206,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/neuroblastoma-children
206,Neuroendocrine tumours,207,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/neuroendocrine-tumours
207,Non-alcoholic fatty liver disease (NAFLD),208,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/non-alcoholic-fatty-liver-disease-nafld
208,Non-Hodgkin lymphoma,209,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/non-hodgkin-lymphoma
209,Non-Hodgkin lymphoma: Children,210,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/non-hodgkin-lymphoma-children
210,Norovirus,211,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/norovirus
211,Nosebleed,212,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/n/nosebleed
212,Obesity,213,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/obesity
213,Obsessive compulsive disorder (OCD),214,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/obsessive-compulsive-disorder-ocd
214,Obstructive sleep apnoea,215,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/obstructive-sleep-apnoea
215,Oesophageal cancer,216,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/oesophageal-cancer
216,Oral thrush in adults,217,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/oral-thrush-in-adults
217,Osteoarthritis,218,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/osteoarthritis
218,Osteoporosis,219,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/osteoporosis
219,Osteosarcoma,220,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/osteosarcoma
220,Otitis externa,221,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/otitis-externa
221,Ovarian cancer,222,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/ovarian-cancer
222,Ovarian cancer: Teenagers and young adults,223,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/ovarian-cancer-teenagers-and-young-adults
223,Ovarian cyst,224,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/ovarian-cyst
224,Overactive thyroid,225,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/o/overactive-thyroid
225,Paget's disease of the nipple,226,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pagets-disease-of-the-nipple
226,Pancreatic cancer,227,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pancreatic-cancer
227,Panic disorder,228,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/panic-disorder
228,Parkinson's disease,229,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/parkinsons-disease
229,Pelvic inflammatory disease,230,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pelvic-inflammatory-disease
230,Pelvic organ prolapse,231,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pelvic-organ-prolapse
231,Penile cancer,232,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/penile-cancer
232,Peripheral neuropathy,233,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/peripheral-neuropathy
233,Personality disorder,234,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/personality-disorder
234,Pleurisy,235,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pleurisy
235,Pneumonia,236,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pneumonia
236,Polymyalgia rheumatica,237,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/polymyalgia-rheumatica
237,Post-polio syndrome,238,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/post-polio-syndrome
238,Post-traumatic stress disorder (PTSD),239,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/post-traumatic-stress-disorder-ptsd
239,Postnatal depression,240,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/postnatal-depression
240,Pregnancy and baby,241,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pregnancy-and-baby
241,Pressure ulcers,242,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pressure-ulcers
242,Prostate cancer,243,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/prostate-cancer
243,Psoriasis,244,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/psoriasis
244,Psoriatic arthritis,245,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/psoriatic-arthritis
245,Psychosis,246,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/psychosis
246,Pubic lice,247,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/p/pubic-lice
247,Rare tumours,248,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/rare-tumours
248,Raynaud's phenomenon,249,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/raynauds-phenomenon
249,Reactive arthritis,250,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/reactive-arthritis
250,Restless legs syndrome,251,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/restless-legs-syndrome
251,Retinoblastoma: Children,252,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/retinoblastoma-children
252,Rhabdomyosarcoma,253,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/rhabdomyosarcoma
253,Rheumatoid arthritis,254,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/rheumatoid-arthritis
